Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
,,,,,A320,Business,Business Class,Dublin to London,Feb-22,,,1,no,
5,4,4,,,Boeing 787-9,Family Leisure,Business Class,London to Washington,Feb-22,5,5,4,yes,5
,,,,,,Family Leisure,Business Class,London to Porto,Feb-22,,,1,no,
5,,5,,,,Solo Leisure,Business Class,Washington to London,Dec-21,5,4,5,yes,
,,,,,,Couple Leisure,Economy Class,Montréal to Dubai via London,Feb-22,,,4,yes,
4,4,4,,,Boeing 787-9,Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,Jan-22,5,5,5,yes,
2,4,3,,,Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,Jan-22,4,3,3,yes,
3,1,2,,,Boeing 777,Couple Leisure,Business Class,London Heathrow to Orlando,Jan-22,4,3,3,no,
1,2,2,,,A380,Couple Leisure,Economy Class,London Heathrow to Dubai,Jan-22,1,1,1,no,
4,4,3,,,,Solo Leisure,Economy Class,New York to Newcastle via London,Nov-21,4,1,4,no,
3,,3,,,Boeing 737-800,Couple Leisure,Business Class,Cape Town to Durban,Jan-22,2,4,3,yes,
5,,5,,,,Solo Leisure,Economy Class,Durban to Cape Town,Jan-22,5,5,5,yes,
1,3,4,,,,Solo Leisure,Business Class,Bangalore to Detroit via London,Jan-22,2,1,1,no,
2,3,1,,,,Business,Economy Class,New York to London,Jan-22,1,1,2,no,
1,1,1,,,,Business,Economy Class,Las Vegas to London,Jan-22,4,1,1,no,
1,3,2,,,,Couple Leisure,Business Class,London to Dubai,Oct-21,1,1,1,no,
,,2,,,,Family Leisure,Economy Class,Warsaw to London,Dec-21,4,1,2,no,
1,,2,,,A319,Business,Business Class,Glasgow to London Heathrow,Dec-21,1,2,1,no,
2,5,3,,,Boeing 777,Couple Leisure,Business Class,London to Cape Town,Dec-21,3,4,3,yes,1
,,1,,,,Solo Leisure,Premium Economy,London to Tampa,Nov-21,1,1,1,no,
4,,4,,,A320-200,Solo Leisure,Business Class,Edinburgh to London,Dec-21,5,5,4,yes,5
5,,4,,,A320-200,Solo Leisure,Business Class,London to Edinburgh,Dec-21,5,3,4,yes,
1,1,1,,,A380,Family Leisure,Economy Class,London Heathrow to Los Angeles,Dec-21,4,2,1,no,
4,,5,,,Boeing 777,Business,Economy Class,London to St Lucia,Dec-21,5,5,5,yes,
5,3,4,,,Boeing 787,Couple Leisure,First Class,London to Chicago,Nov-21,5,4,4,yes,5
3,1,1,,,A320,Solo Leisure,Business Class,London to Istanbul,Dec-21,2,1,2,no,1
3,4,4,,,Boeing 777,Couple Leisure,Business Class,Dubai to London Heaathrow,Dec-21,2,1,4,yes,3
,,,,,A320,Solo Leisure,Economy Class,London to Aberdeen,Dec-21,,1,1,no,
3,2,1,,,Boeing 777,Couple Leisure,Business Class,London Gatwick to Cancun,Dec-21,5,5,3,no,
2,3,1,,,,Business,Business Class,Kingston to London,Aug-21,2,2,1,no,1
1,1,1,,,,Family Leisure,Business Class,London to Delhi,Jan-21,1,1,1,no,1
,,1,,,,Solo Leisure,Economy Class,Washington DC to Moscow via London,Dec-21,1,1,1,no,
1,3,3,,,,Solo Leisure,Economy Class,Singapore to London,Jul-21,4,1,1,no,
,,,,,,Family Leisure,Economy Class,Cairo to Portland via London / Seattle,Nov-21,,1,1,no,
4,,3,,,A320,Business,Business Class,London Heathrow to Paris CDG,Nov-21,4,1,3,no,
,,1,,,,Business,Business Class,Manchester to London Heathrow,Nov-21,,1,2,no,
3,,3,,,A321 neo,Solo Leisure,Business Class,London to Tenerife,Nov-21,2,4,2,no,
5,,4,,,A321 neo,Solo Leisure,Business Class,Tenerife to London,Nov-21,5,4,4,yes,
1,,1,,,A320,Solo Leisure,Economy Class,Stockholm to London Heathrow,Nov-21,5,1,2,no,
,,,,,,Business,Economy Class,Frankfurt to London,Nov-21,,1,1,no,
1,,3,,,A320neo,Couple Leisure,Business Class,London Heathrow to Tenerife South,Nov-21,3,2,1,no,
3,,2,,,A320 Neo,Couple Leisure,Business Class,Heathrow to Tenerife South,Nov-21,5,3,3,yes,
2,2,1,,,,Solo Leisure,Economy Class,London to Chicago,Nov-21,2,1,1,no,2
2,5,2,,,,Solo Leisure,Economy Class,London to Mexico,Oct-21,3,2,2,no,
2,2,2,,,Boeing 777,Couple Leisure,Economy Class,Manchester to Nassau via London,Oct-21,2,1,1,no,1
2,3,3,,,,Family Leisure,Economy Class,Mumbai to Dublin via London,Nov-21,2,2,3,no,
,,4,,,,Solo Leisure,Premium Economy,Gibraltar to London,Nov-21,4,1,3,no,
4,,4,,,A321,Business,Economy Class,Belfast to London,Nov-21,5,4,4,yes,
2,,2,,,A321,Family Leisure,Business Class,Larnaca to London Heathrow,Oct-21,4,3,3,yes,3
4,,4,,,A320,Couple Leisure,Business Class,Lisbon to London Heathrow,Sep-21,4,5,4,yes,
5,4,4,,,Boeing 787,Couple Leisure,Premium Economy,Madrid to London,Oct-21,5,3,5,yes,
3,,5,,,A320NEO,Family Leisure,Economy Class,London to Bologna,Oct-21,5,2,4,yes,
4,,1,,,A321 Neo,Business,Economy Class,London to Alicante,Oct-21,4,4,5,yes,
3,2,3,,,A321,Family Leisure,Business Class,London to Larnaca,Oct-21,5,4,4,yes,2
,,4,,,A320,Business,Economy Class,Prague to London,Oct-21,5,1,1,no,
5,5,5,,,,Couple Leisure,Economy Class,Male to London,Oct-21,5,5,5,yes,5
4,4,3,,,,Solo Leisure,Premium Economy,London to Toronto,Oct-21,3,4,4,yes,
5,5,5,,,A350,Business,Business Class,London to Toronto,Oct-21,5,5,5,yes,5
4,3,2,,,,Solo Leisure,Business Class,London Heathrow to Athens Greece,Sep-21,4,4,1,no,4
,,,,,,Solo Leisure,Economy Class,London to Cayman Islands,Nov-20,,,1,no,
1,,1,,,A320,Family Leisure,Economy Class,London to Prague,Oct-21,1,1,2,no,
3,,3,,,A321,Couple Leisure,Business Class,Larnaca to London Heathrow,Oct-21,4,4,4,yes,3
,,,,,,Couple Leisure,Economy Class,Heathrow to Manchester,Aug-21,,1,1,no,
,,2,,,,Business,Business Class,London to Jersey,Sep-21,1,1,1,no,
,,5,,,,Solo Leisure,Premium Economy,Denver to London,Oct-21,5,5,5,yes,
3,,4,,,A321,Business,Economy Class,Belfast to London,Sep-21,3,4,5,yes,
1,,1,,,A320,Couple Leisure,Economy Class,Manchester to Aberdeen via Heathrow,Aug-21,1,1,1,no,1
2,,3,,,,Couple Leisure,Business Class,London Heathrow to Tenerife south,Sep-21,1,1,1,no,
1,2,3,,,,Business,Business Class,London to New York,Sep-21,1,3,4,no,2
3,,3,,,A320,Couple Leisure,Business Class,London Heathrow to Larnaca,Sep-21,3,3,3,yes,2
4,,3,,,A320,Family Leisure,Business Class,London to Lisbon,Sep-21,5,3,4,yes,4
1,,4,,,Embraer,Solo Leisure,Economy Class,Frankfurt to London,Sep-21,4,1,1,no,
,,,,,,Business,Economy Class,Geneva to Sao Paulo via London,Oct-20,,,1,no,
,,,,,,Family Leisure,Economy Class,Abuja to London,Sep-21,,1,3,no,
,,,,,,Business,Business Class,Mykonos to New York via London,Aug-21,,,1,no,
3,3,2,,,,Solo Leisure,Economy Class,Boston to Tirana London,Sep-21,3,1,3,no,
1,1,1,,,,Couple Leisure,Economy Class,Washington Dulles to London,Aug-21,1,1,1,no,
,,,,,,Business,Economy Class,Gatwick to Catania,Aug-21,,,1,no,
1,1,5,,,Boeing 787-8,Solo Leisure,Economy Class,London to Moscow Domodedovo,Aug-21,4,3,2,yes,1
4,,4,,,,Solo Leisure,Economy Class,London to Athens,Aug-21,5,5,5,yes,5
4,4,4,,,A320,Family Leisure,Economy Class,London to Corfu,Aug-21,5,4,4,yes,4
2,3,4,,,,Family Leisure,Business Class,Moscow to London Heathrow,Aug-21,1,1,1,no,
2,,3,,,,Business,Business Class,London Heathrow to Munich,Aug-21,2,1,2,no,
5,,3,,,A330,Couple Leisure,Business Class,London Heathrow to Nice,Jul-21,4,3,3,no,
,,,,,,Family Leisure,Economy Class,London to Hong Kong,Apr-21,,,1,no,
,,1,,,A230,Solo Leisure,Premium Economy,Belfast to Budapest via Heathrow,Jul-21,1,1,1,no,
5,4,4,,,Boeing 777-200,Family Leisure,Business Class,Cancun to Gatwick,Jul-21,5,4,4,yes,4
4,4,5,,,Boeing 777-200,Family Leisure,Business Class,Gatwick to Cancun,Jul-21,5,4,5,yes,4
,,,,,,Family Leisure,Economy Class,,Jul-21,,,1,no,
,,3,,,,Family Leisure,Economy Class,Bucharest to Toronto via London,Jul-21,3,1,2,no,
,,3,,,,Business,Business Class,Seattle to Bangalore via London,Jun-21,4,3,3,yes,
3,3,1,,,Boeing 787,Solo Leisure,Business Class,London to Mexico City,Jun-21,2,3,1,no,1
3,,4,,,A320,Couple Leisure,Business Class,Preveza to London,Jun-21,3,5,4,yes,
4,4,4,,,,Solo Leisure,Economy Class,London to Accra,Jun-21,4,4,4,yes,
4,,4,,,A320,Couple Leisure,Business Class,London Heathrow to Preveza,May-21,4,5,4,yes,
,,3,,,,Family Leisure,Economy Class,Durban to Cape Town,Jan-21,3,3,1,no,
4,3,4,,,A321NEO,Solo Leisure,Economy Class,Aberdeen to London Heathrow,May-21,5,4,4,yes,5
,,3,,,,Business,Business Class,Malaga to London,Apr-21,3,4,4,yes,
4,,4,,,Boeing 737-800,Solo Leisure,Economy Class,Johannesburg to Cape Town,Apr-21,5,5,4,yes,
1,3,2,,,,Solo Leisure,Economy Class,Gatwick to Cancun,Dec-20,4,3,1,no,
1,,1,,,,Couple Leisure,Economy Class,Bridgetown to London,Feb-21,1,1,1,no,
,,1,,,,Family Leisure,Economy Class,Ottawa to Ahmedabad,Nov-20,1,1,1,no,
,,2,,,,Solo Leisure,Economy Class,Antigua to London,Jan-21,2,1,1,no,
5,5,5,,,,Solo Leisure,Economy Class,Sofia to London Heathrow,Dec-20,5,5,3,no,5
5,5,5,,,,Solo Leisure,Economy Class,Mumbai to London,Feb-21,5,4,5,yes,
1,2,2,,,Boeing 787-9,Business,First Class,Mexico City to London Heathrow,Jan-21,5,3,3,no,1
,,,,,,Family Leisure,Economy Class,London to Maldives,Dec-20,,,1,no,
4,,5,,,,Solo Leisure,Economy Class,Heathrow to Belfast,Dec-20,4,5,3,yes,1
,,5,,,,Solo Leisure,Economy Class,London to Paris,Sep-20,5,5,5,yes,
,,5,,,,Solo Leisure,Economy Class,London to Cairo,Dec-20,5,5,4,yes,
1,5,4,,,A350,Solo Leisure,Premium Economy,London Heathrow to Dubai,Jul-20,1,5,5,no,4
3,,3,,,A321,Solo Leisure,Business Class,London to Tenerife,Dec-20,5,4,4,yes,5
1,1,1,,,Boeing 747,Family Leisure,Economy Class,London Heathrow to Lahore,Dec-20,1,1,1,no,1
3,,5,,,,Solo Leisure,Economy Class,London to Venice,Oct-20,4,3,5,yes,
5,5,5,,,,Couple Leisure,Economy Class,Munich to London,Nov-19,5,5,5,yes,5
1,5,5,,,,Family Leisure,Economy Class,London to Bangalore,Oct-20,5,5,2,no,3
5,5,5,,,A320neo,Solo Leisure,Business Class,Warsaw to London-Heathrow,Sep-20,5,4,5,yes,5
3,,4,,,A321,Couple Leisure,Economy Class,London to Santorini,Aug-20,4,1,2,no,
2,,2,,,A321,Couple Leisure,Economy Class,London to Paris,Feb-20,3,5,1,no,
2,,1,,,A319,Business,Economy Class,Berlin to London,Aug-20,1,2,2,no,
3,,5,,,A320,Solo Leisure,Economy Class,Newcastle to London Heathrow,Jul-20,5,5,5,yes,
,,,,,,Solo Leisure,Premium Economy,London to Singapore,Mar-20,,,1,no,
,,,,,,Family Leisure,Economy Class,Austin to London,Jul-20,,,1,no,
,,,,,,Solo Leisure,Economy Class,London to Frankfurt,Apr-20,,,1,no,
,,1,,,,Business,Economy Class,London Heathrow to Lyon,Feb-20,1,1,1,no,
,,3,,,Embraer 195,Business,Economy Class,London City to Edinburgh,Nov-19,4,5,3,yes,
,,,,,,Business,First Class,San Francisco to Edinburgh via London,May-20,,,1,no,
,,,,,,Business,Business Class,Rome to Los Angeles via London,Jun-20,,,1,no,
,,,,,,Couple Leisure,Economy Class,Chicago to Seville via Miami / Madrid,Mar-20,,,1,no,
,,,,,A350,Solo Leisure,Premium Economy,London to Tel Aviv,Apr-20,,,1,no,
,,,,,,Couple Leisure,Business Class,San Diego to Barcelona via London,Dec-19,,,1,no,
,,,,,,Solo Leisure,Economy Class,Toronto to London,May-20,,,1,no,
1,3,3,,,,Family Leisure,Premium Economy,Tokyo to London,Mar-20,2,2,1,no,
2,3,3,,,,Couple Leisure,Economy Class,Los Angeles to Paris via London,Mar-20,3,5,1,no,
5,5,5,,,A350,Couple Leisure,Business Class,London Heathrow to Toronto,Feb-20,5,5,5,yes,
5,2,5,,,Boeing 747-400,Couple Leisure,Business Class,Las Vegas to London Heathrow,Feb-20,5,5,5,yes,
1,2,1,,,,Solo Leisure,Economy Class,Sydney to London via Singapore,Mar-20,1,1,1,no,1
,,,,,,Business,Economy Class,Zurich to London,Apr-20,,,1,no,
,,3,,,,Couple Leisure,Business Class,Vienna to London,Feb-20,3,3,1,no,
,,5,,,A321neo,Solo Leisure,Economy Class,London-Heathrow to Warsaw,Mar-20,5,4,3,yes,
2,1,2,,,,Business,Economy Class,Johannesburg to London,Mar-20,3,1,2,no,1
,,,,,,Business,Economy Class,London to Stockholm,Apr-20,,1,1,no,
,,,,,,Solo Leisure,Economy Class,London to Budapest,Mar-20,,,1,no,
4,,3,,,Boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,Mar-20,5,3,1,no,
,,,,,,Solo Leisure,Economy Class,Vancouver to London,Mar-20,,1,1,no,
,,,,,,Family Leisure,Economy Class,London to Marrakesh,Aug-19,,,1,no,
,,,,,Boeing 777,Couple Leisure,Economy Class,Seattle to Heathrow,Mar-20,,,5,no,
4,2,5,,,,Couple Leisure,Premium Economy,Mumbai to London Heathrow,Mar-20,5,5,5,yes,
,,,,,,Business,Economy Class,London to Valencia,Mar-20,,,1,no,
,,1,,,,Couple Leisure,Economy Class,London Gatwick to Funchal,Mar-20,4,1,1,no,
1,1,1,,,Boeing 747-400,Business,Business Class,Chicago to London Heathrow,Mar-20,1,1,1,no,1
1,1,1,,,Boeing 747-400,Business,Business Class,London to New York JFK,Feb-20,1,1,1,no,1
,,,,,,Solo Leisure,Economy Class,London to Madrid,Mar-20,,,1,no,
3,2,2,,,,Business,Economy Class,Frankfurt to Buenos Aires via London,Oct-19,3,1,1,no,
,,,,,,Business,Business Class,London to Paris CDG,Mar-20,,,1,no,
,,,,,,Couple Leisure,Economy Class,London City to Berlin,Mar-20,,1,1,no,
4,5,3,,,Boeing 787,Solo Leisure,Economy Class,London to Beijing,Jan-20,5,4,4,yes,
5,3,5,,,A380,Family Leisure,Economy Class,Hong Kong to London,Jan-20,5,5,5,yes,
5,4,4,,,Boeing 777-200,Couple Leisure,Economy Class,Mumbai to London,Mar-20,5,5,5,yes,
5,4,4,,,Boeing 777-200,Couple Leisure,Economy Class,London to Delhi,Feb-20,5,2,4,yes,
,,1,,,A319,Business,Business Class,Paris to London,Feb-20,4,1,1,no,
3,3,3,,,,Solo Leisure,Economy Class,Singapore to London,Feb-20,3,1,1,no,
1,,2,,,,Solo Leisure,Economy Class,Gatwick to Malaga,Feb-20,3,3,3,no,
5,5,4,,,Boeing 747-400,Solo Leisure,Premium Economy,Vancouver to London,Feb-20,5,4,5,yes,
,,,,,Boeing 787,Business,Business Class,London to Seattle,Feb-20,,,1,no,
1,3,3,,,Boeing 777,Solo Leisure,First Class,London Heathrow to Nairobi,Feb-20,5,2,3,no,
1,,1,,,,Couple Leisure,Premium Economy,Dubai to London,Feb-20,1,1,1,no,
1,3,4,,,,Couple Leisure,Business Class,London to Cape Town,Feb-20,2,3,3,no,
1,1,1,,,Boeing 787,Solo Leisure,Economy Class,Rio de Janeiro to London,Feb-20,3,1,2,no,
,,1,,,,Solo Leisure,Economy Class,Johannesburg to Dublin via London,Feb-20,1,1,1,no,
3,1,1,,,Boeing 747-400,Couple Leisure,Business Class,Las Vegas to Paris via London,Feb-20,4,4,1,no,
,,,,,A320,Couple Leisure,Economy Class,Geneva to Gatwick,Jan-20,,1,1,no,
4,5,5,,,,Solo Leisure,Economy Class,Mexico City to Manchester via London,Jan-20,5,5,4,yes,
4,,4,,,A321,Solo Leisure,Business Class,London Heathrow to Sofia,Oct-19,4,5,4,yes,2
2,,2,,,,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,Jul-19,3,1,1,no,
2,1,2,,,A321neo,Business,Business Class,Madrid to London,Jan-20,3,3,2,no,1
,,5,,,A320,Family Leisure,Economy Class,Prague to London,Jan-20,5,3,5,yes,3
3,3,3,,,A380-800,Couple Leisure,Business Class,Johannesburg to London,Jan-20,4,3,3,yes,
2,4,2,,,Boeing 777-200,Business,Business Class,Las Vegas to Gatwick,Jan-20,2,4,1,no,
5,3,5,,,Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,Jan-20,5,1,3,no,1
3,,4,,,A320,Couple Leisure,Business Class,Cape Town to Johannesburg,Jan-20,4,4,4,yes,
5,5,5,,,,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen,Dec-19,5,5,5,yes,1
4,4,3,,,Boeing 787-9,Business,Business Class,Phoenix to London,Jan-20,5,3,5,yes,
4,1,2,,,Boeing 777-200,Solo Leisure,Economy Class,London Heathrow to Bangkok,Jan-20,4,4,2,no,1
5,2,2,,,Boeing 777-200ER,Solo Leisure,Economy Class,Mumbai to Boston via London,Jan-20,5,1,3,yes,1
1,1,1,,,,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",Dec-19,1,1,1,no,1
4,3,4,,,Boeing 787 / A320,Solo Leisure,Economy Class,Toronto to Geneva via London,Jan-20,5,4,3,yes,
5,4,4,,,Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,Jan-20,5,4,4,yes,
2,3,1,,,Boeing 787,Business,Economy Class,San Jose to Amsterdam via London,Jan-20,1,2,3,no,
4,4,3,,,Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,Jan-20,4,1,2,no,
5,,5,,,A321neo,Solo Leisure,Economy Class,Warsaw to London,Jan-20,5,4,5,yes,
3,4,4,,,Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,Jan-20,5,5,4,yes,
2,,2,,,,Family Leisure,Economy Class,London to Los Angeles,Dec-19,1,1,3,no,1
3,,3,,,Boeing 737-800,Couple Leisure,Business Class,Johannesburg to Cape Town,Jan-20,3,4,4,yes,
1,,2,,,,Business,Business Class,London to Bangkok,Jan-20,1,2,2,no,
4,3,4,,,A380,Couple Leisure,Business Class,London to Johannesburg,Jan-20,4,4,4,yes,2
4,2,2,,,Boeing 777-200 / 747-400,Solo Leisure,Economy Class,Boston to Mumbai via London,Dec-19,5,1,5,yes,
1,,1,,,,Couple Leisure,Business Class,Los Angeles to London,Jan-20,1,1,1,no,
1,2,3,,,,Solo Leisure,Premium Economy,Gatwick to Cancun,Jan-20,1,3,2,no,1
4,,4,,,A320,Solo Leisure,Business Class,London Gatwick to Glasgow,Jan-20,5,5,4,yes,
5,,5,,,Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,Dec-19,5,4,5,yes,
2,1,1,,,A320,Business,Business Class,Gatwick to Tirana,Jan-20,3,4,2,yes,5
5,,3,,,A320,Couple Leisure,Business Class,Keflavik to London Heathrow,Jan-20,5,4,5,yes,
1,1,1,,,,Couple Leisure,Economy Class,London Heathrow to Vancouver,Jan-20,3,2,1,no,1
1,1,2,,,,Couple Leisure,Economy Class,Tokyo to London Heathrow,Jan-20,1,5,1,no,1
3,4,3,,,A380,Couple Leisure,Business Class,London to Hong Kong,Dec-19,4,1,3,no,
2,2,1,,,Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,Jan-20,3,1,1,no,1
,,2,,,A320,Solo Leisure,Economy Class,Istanbul to London,Jan-20,2,1,1,no,
1,,2,,,,Solo Leisure,Economy Class,London to Bucharest,Dec-19,2,1,1,no,
5,5,5,,,Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,Dec-19,5,4,5,yes,2
1,,3,,,A321neo,Family Leisure,Economy Class,London to Athens,Dec-19,1,3,4,no,
1,,2,,,,Solo Leisure,Economy Class,Copenhagen to London,Dec-19,1,1,1,no,
2,1,3,,,A320,Solo Leisure,Economy Class,Budapest to Billund via London,Dec-19,3,4,3,yes,
4,3,3,,,,Solo Leisure,Economy Class,Cape Town to Brussels via London,Dec-19,5,4,4,yes,3
5,2,5,,,Boeing 777-300ER,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,Dec-19,5,4,5,yes,1
4,,3,,,A321neo,Solo Leisure,Business Class,Sofia to London,Oct-19,4,3,4,yes,
5,5,5,,,,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,Dec-19,5,5,5,yes,
,,2,,,A320,Solo Leisure,Economy Class,London to Munich,Dec-19,1,1,1,no,
,,,,,,Family Leisure,Economy Class,Hong Kong to London,Dec-19,,,2,no,
,,2,,,,Couple Leisure,Economy Class,London to Paris,Aug-19,2,1,1,no,
1,1,2,,,Boeing 777 - 200,Business,Economy Class,New York to London,Dec-19,2,5,5,no,
,,,,,,Family Leisure,Premium Economy,Austin to London,Oct-19,,,1,no,
1,1,1,,,,Couple Leisure,Economy Class,Frankfurt to London,Dec-19,1,1,1,no,1
1,1,1,,,,Solo Leisure,Economy Class,London to Glasgow,Dec-19,1,1,1,no,1
4,4,3,,,Boeing 747-400,Business,Business Class,London to San Francisco,Dec-19,5,5,4,yes,5
5,,2,,,A319,Couple Leisure,Economy Class,Heathrow to Belfast,Dec-19,5,1,3,no,
5,1,4,,,A380,Solo Leisure,Business Class,London to Singapore,Oct-19,5,5,5,yes,1
,,1,,,,Business,Economy Class,Toulouse to London,Nov-19,1,3,1,no,
5,,3,,,A319,Solo Leisure,Business Class,London Heathrow to Stockholm,Nov-19,5,5,4,yes,
3,3,1,,,A380,Family Leisure,Economy Class,Johannesburg to London,Nov-19,3,2,1,no,
3,3,3,,,A380,Couple Leisure,Business Class,Johannesburg to London,Dec-19,3,3,4,yes,
5,5,4,,,Boeing 747-400,Solo Leisure,First Class,London Heathrow to Miami,Nov-19,5,5,5,yes,1
5,,3,,,A319,Solo Leisure,Business Class,Stockholm to London Heathrow,Nov-19,5,5,4,yes,
4,2,3,,,Boeing 777-300,Couple Leisure,Economy Class,London to Sydney via Singapore,Nov-19,4,3,4,yes,
3,1,1,,,Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,Nov-19,4,1,1,no,
3,3,3,,,Boeing 777-200,Solo Leisure,Business Class,Gatwick to Bridgetown,Dec-19,2,3,2,no,
2,3,4,,,Boeing 777,Business,Business Class,Brussels to Bangkok via London,Nov-19,2,4,3,no,
2,,1,,,Boeing 777-200,Business,Economy Class,San Francisco to Oslo via London,Nov-19,2,1,1,no,
,,3,,,,Couple Leisure,Economy Class,Los Angeles to Berlin via London,Nov-19,1,1,1,no,
3,3,3,,,A380,Couple Leisure,Business Class,London to Johannesburg,Nov-19,3,3,3,yes,
2,,4,,,,Business,Premium Economy,London to Bangalore,Nov-19,4,2,2,no,
3,,5,,,,Solo Leisure,Economy Class,London to Sydney via Singapore,Nov-19,5,5,5,yes,
,,1,,,,Solo Leisure,Economy Class,Lisbon to London,Nov-19,,1,1,no,
,,4,,,,Solo Leisure,Economy Class,London Heathrow to Glasgow,Nov-19,3,4,2,no,
4,4,5,,,Boeing 787-9,Family Leisure,Economy Class,doha to londonDoha to London,Nov-19,5,5,5,yes,
2,1,2,,,,Family Leisure,Economy Class,London to Buenos Aires,Nov-19,3,3,2,no,1
3,2,4,,,A380,Couple Leisure,Economy Class,San Francisco to London,Nov-19,2,3,3,no,
1,1,1,,,Boeing 777-300,Business,Business Class,Sydney to Singapore,Nov-19,1,2,1,no,1
1,1,1,,,Boeing 777,Family Leisure,Economy Class,London to Mauritius,Nov-19,4,1,2,no,1
5,5,5,,,,Business,Business Class,Los Angeles to Amsterdam via London,Nov-19,5,5,5,yes,5
2,1,2,,,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,Nov-19,2,2,3,no,
1,1,1,,,Boeing 747-400,Couple Leisure,Economy Class,New York to Paris via London,Nov-19,1,1,1,no,2
2,,4,,,A320,Couple Leisure,Business Class,London Heathrow to Lisbon,Nov-19,1,5,2,no,
4,4,4,,,Boeing 777,Solo Leisure,Economy Class,London to Boston,Nov-19,4,4,3,yes,1
3,5,4,,,A320,Business,Economy Class,Tirana to London,Nov-19,5,5,5,yes,5
5,5,5,,,Boeing 747-400,Solo Leisure,Economy Class,Gatwick to St Lucia,Nov-19,5,5,5,yes,
4,5,4,,,,Family Leisure,Economy Class,London to Singapore,Nov-19,5,5,4,yes,
3,2,1,,,,Solo Leisure,Economy Class,London to San Francisco,Nov-19,4,4,2,no,
4,,4,,,A320,Couple Leisure,Business Class,Gatwick to Venice,Sep-19,5,5,4,yes,
,,,,,,Couple Leisure,Economy Class,Bordeaux to Gatwick,Sep-19,,,1,no,
5,5,5,,,Boeing 787-9,Couple Leisure,Business Class,Seychelles to London,Oct-19,5,4,5,yes,
,,3,,,A320,Couple Leisure,Economy Class,London to Belfast,Oct-19,2,1,2,no,
,,,,,,Business,Premium Economy,London to Cape Town,Oct-19,,1,1,no,
4,1,2,,,Boeing 787,Couple Leisure,Business Class,San Jose to London,Oct-19,4,3,2,no,
1,,1,,,A321neo,Solo Leisure,Economy Class,London Heathrow to Edinburgh,Oct-19,3,3,3,yes,
4,5,4,,,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Barbados,Oct-19,4,5,5,yes,5
5,5,3,,,Boeing 777,Couple Leisure,Economy Class,Toronto to London,Oct-19,5,5,5,yes,
1,5,1,,,,Solo Leisure,Economy Class,Jeddah to London,Oct-19,1,1,1,no,
,,1,,,,Business,Economy Class,Zurich to London,Oct-19,1,2,3,no,
5,4,5,,,A380,Couple Leisure,Business Class,San Francisco to London,Oct-19,5,5,4,yes,
5,,5,,,A319,Solo Leisure,Business Class,London to Belfast,Oct-19,5,5,5,yes,
3,2,2,,,,Couple Leisure,Economy Class,London Gatwick to Salzburg,Apr-19,3,2,2,no,2
2,,1,,,,Business,Economy Class,Frankfurt to London,Oct-19,4,1,1,no,
2,3,3,,,,Business,Economy Class,Hyderabad to San Francisco via London,Oct-19,5,3,3,no,
1,4,4,,,Boeing 747-400,Business,Business Class,Vancouver to London,Oct-19,1,3,2,no,
,,1,,,A320,Solo Leisure,Economy Class,London to Malaga,Oct-19,1,1,1,no,
,,4,,,A320,Business,Economy Class,Brussels to London,Oct-19,4,1,2,no,
1,,1,,,Boeing 777,Couple Leisure,Premium Economy,London to Singapore,Oct-19,1,3,1,no,
2,3,5,,,Boeing 787,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,Oct-19,1,2,1,no,
5,5,5,,,Boeing 787-900,Couple Leisure,Business Class,London Heathrow to Seychelles,Oct-19,5,5,5,yes,
,,3,,,,Couple Leisure,Economy Class,Edinburgh to London Heathrow,Oct-19,3,1,1,no,
4,4,4,,,A321,Couple Leisure,Economy Class,Amman to London,Sep-19,4,4,4,yes,
,,3,,,A320,Business,Economy Class,London to Athens,Oct-19,2,4,2,no,
1,1,1,,,Boeing 777,Couple Leisure,Economy Class,New York JFK to London,Oct-19,2,1,1,no,
1,1,1,,,Boeing 777-200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,Sep-19,3,4,1,no,
