Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
1,,1,,,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,Feb-24,3,2,3,no,
,,1,,,A320,Solo Leisure,Premium Economy,Madrid to London via Buenos Aires,Feb-24,3,1,1,no,
,,,,,,Couple Leisure,Economy Class,Pisa to London Heathrow,Sep-23,,,1,no,
5,,5,,,A320,Couple Leisure,Business Class,Malaga to London Heathrow,Feb-24,5,4,4,yes,
3,3,1,,,A350,Couple Leisure,Economy Class,Phoenix to Lisbon via London,Feb-24,5,1,1,no,1
1,,3,,,A320,Solo Leisure,Economy Class,London to Istanbul,Feb-24,1,2,2,no,
3,3,3,,,Boeing 777,Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",Jan-24,5,4,2,no,
1,,1,,,A380,Solo Leisure,First Class,London to San Francisco,Nov-23,4,4,1,no,2
,,,,,,Couple Leisure,Economy Class,London Heathrow to Casablanca,Feb-24,,1,1,no,
,,4,,,,Family Leisure,Premium Economy,London Heathrow to Glasgow,Jan-24,3,5,4,yes,
,,1,,,,Couple Leisure,Economy Class,London Heathrow to Berlin,Oct-23,1,1,1,no,
4,3,3,,,A380-800,Couple Leisure,Business Class,London to Miami,Feb-24,4,2,3,no,
5,,3,,,,Solo Leisure,Business Class,Athens to London,Dec-23,5,4,4,yes,3
4,4,4,,,Boeing 777-200,Family Leisure,Premium Economy,London Gatwick to Cancun,Jan-24,4,1,4,yes,4
3,2,3,,,,Business,Economy Class,London to Warsaw,Jan-24,3,1,3,yes,3
2,2,2,,,,Family Leisure,Business Class,London Heathrow to Miami,Dec-23,1,3,2,no,
1,1,1,,,,Solo Leisure,Economy Class,Boston to Düsseldorf via London,Jan-24,2,1,1,no,
3,3,3,,,A350,Business,Economy Class,Sao Paulo to London Heathrow,Jan-24,4,3,3,no,3
1,,1,,,A320,Couple Leisure,Economy Class,London Heathrow to Lisbon,Jan-24,4,3,4,no,
1,1,1,,,,Family Leisure,Economy Class,London to Hong Kong,Jan-24,3,1,2,no,1
,,1,,,,Family Leisure,Business Class,Dusseldorf (DUS) to Miami (MIA),Jan-24,1,1,1,no,
1,,1,,,,Family Leisure,Business Class,Cairo to London Heathrow,Jan-24,1,1,1,no,
,,3,,,,Family Leisure,Economy Class,Dublin  to London Heathrow,Jan-24,3,1,3,no,1
,,3,,,,Business,Economy Class,Glasgow to London,Jan-24,4,4,3,no,
3,4,4,,,A350-1000,Solo Leisure,Economy Class,Vancouver to London,Jan-24,5,5,5,yes,4
1,1,1,,,A320,Business,Business Class,Heathrow to Madrid,Oct-23,1,1,1,no,1
5,5,5,,,Boeing 777 -200,Couple Leisure,Business Class,London to New York,Nov-23,5,5,4,yes,
4,,4,,,,Family Leisure,Economy Class,Rome to London,Jan-24,5,1,2,no,
1,1,2,,,,Family Leisure,Business Class,Gatwick to Geneva,Dec-23,1,1,1,no,1
5,1,1,,,A320,Solo Leisure,Business Class,Istanbul to London Heathrow,Dec-23,4,2,4,yes,
1,1,3,,,A320,Solo Leisure,Economy Class,London Heathrow to Istanbul,Dec-23,2,5,2,no,
2,2,1,,,Boeing 777,Business,Business Class,Gatwick to St Lucia,Dec-23,5,1,2,no,2
1,3,5,,,Boeing 777,Couple Leisure,Business Class,Sydney to London Heathrow,Dec-23,3,3,3,no,
4,1,1,,,Boeing 777,Business,Business Class,Lisbon to Houston via London Heathrow,Nov-23,2,3,1,no,1
2,5,4,,,A350,Solo Leisure,Premium Economy,Vancouver to London Heathrow,Dec-23,3,5,2,no,
5,,4,,,A329,Family Leisure,Business Class,London Heathrow to Stockholm,Dec-23,5,5,5,yes,
,,1,,,,Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow,Dec-23,1,1,1,no,
,,,,,,Family Leisure,Premium Economy,Cyprus to New York,Dec-23,,1,1,no,
1,,3,,,A321,Solo Leisure,Business Class,Gran Canaria  to London Gatwick,Dec-23,4,3,5,yes,
1,3,4,,,A320/Boeing 777,Couple Leisure,Business Class,Belfast City to Atlanta via London Heathrow,Nov-23,5,5,5,yes,
4,3,3,,,Boeing 787-8,Business,Business Class,London to Portland,Dec-23,3,3,2,no,
,,1,,,,Solo Leisure,Economy Class,London to Frankfurt,Jun-23,,1,1,no,
5,5,5,,,A350,Solo Leisure,Business Class,Cape Town to London Heathrow,Dec-23,4,5,4,yes,1
2,3,1,,,,Couple Leisure,Business Class,Miami to Manchester via Heathrow,Dec-23,3,1,2,no,1
